replicate,model,auc
83,XGBoost,0.818124532992669
84,Logistic,0.8293720913321698
84,Random Forest,0.8157286212914484
84,XGBoost,0.829828388598022
85,Logistic,0.8220835212287678
85,Random Forest,0.799334508533869
85,XGBoost,0.8140142663878982
86,Logistic,0.8047186395836596
86,Random Forest,0.7794388456651524
86,XGBoost,0.7954588968374149
87,Logistic,0.8115994565883484
87,Random Forest,0.802340053478059
87,XGBoost,0.8114285615645009
88,Logistic,0.8127958476835997
88,Random Forest,0.8102200896169411
88,XGBoost,0.8160957339614511
89,Logistic,0.8088573786883375
89,Random Forest,0.798086795466289
89,XGBoost,0.8057235080561278
90,Logistic,0.7768004999218873
90,Random Forest,0.7596521376868198
90,XGBoost,0.7741168914579319
91,Logistic,0.789304640775229
91,Random Forest,0.7811681429328489
91,XGBoost,0.7882882882882882
92,Logistic,0.7984101018797531
92,Random Forest,0.7868771224948581
92,XGBoost,0.792685703352944
93,Logistic,0.8033833114334693
93,Random Forest,0.7792667751507609
93,XGBoost,0.7921108278148576
94,Logistic,0.8045191740180064
94,Random Forest,0.7945585939119262
94,XGBoost,0.8067142126779274
95,Logistic,0.8248301681594394
95,Random Forest,0.8144534573713768
95,XGBoost,0.8224281698846533
96,Logistic,0.7914657538104342
96,Random Forest,0.7860993857620712
96,XGBoost,0.7948764483717845
97,Logistic,0.8041001733968142
97,Random Forest,0.7930351055075531
97,XGBoost,0.8001418033268677
98,Logistic,0.8146502677231704
98,Random Forest,0.7914124836180355
98,XGBoost,0.8060858889773337
99,Logistic,0.80033863007793
99,Random Forest,0.7882258252369803
99,XGBoost,0.7969314691295574
100,Logistic,0.7890385683027987
100,Random Forest,0.7739508833806865
100,XGBoost,0.7879265863296431
101,Logistic,0.8125100944843737
101,Random Forest,0.7889058251904493
101,XGBoost,0.8062262779617217
102,Logistic,0.8034270525932812
102,Random Forest,0.7952965193839188
102,XGBoost,0.799189136381399
103,Logistic,0.800650911116416
103,Random Forest,0.7838338505609932
103,XGBoost,0.7961645579692845
104,Logistic,0.803983274973036
104,Random Forest,0.7867060413988742
104,XGBoost,0.8048014272417002
105,Logistic,0.7614433234505504
105,Random Forest,0.7559566953344168
105,XGBoost,0.7593716605733669
106,Logistic,0.8213088675575324
106,Random Forest,0.803559370489181
106,XGBoost,0.8169609423369353
107,Logistic,0.8028578431372548
107,Random Forest,0.7888300653594772
107,XGBoost,0.79509477124183
108,Logistic,0.8048383258863654
108,Random Forest,0.784297032669716
108,XGBoost,0.8037155522653765
109,Logistic,0.8095799769850403
109,Random Forest,0.8010745955459284
109,XGBoost,0.8118983957219251
110,Logistic,0.8073911307856262
110,Random Forest,0.7848705830357205
110,XGBoost,0.7972847743489945
111,Logistic,0.7973937677053825
111,Random Forest,0.7800383269455091
111,XGBoost,0.7934794200966505
112,Logistic,0.8263497553985275
112,Random Forest,0.8171230913672974
112,XGBoost,0.8239877452191531
113,Logistic,0.8063724783861671
113,Random Forest,0.8009600144092218
113,XGBoost,0.8074009365994236
114,Logistic,0.8023100540962035
114,Random Forest,0.7917507350910538
114,XGBoost,0.7999561382133633
115,Logistic,0.8192045622870685
115,Random Forest,0.8129647459635609
115,XGBoost,0.8195693230632498
116,Logistic,0.789511000933912
116,Random Forest,0.7869719277042245
116,XGBoost,0.7921496456628028
117,Logistic,0.7852948615411959
117,Random Forest,0.7740773400597447
117,XGBoost,0.7843925380582273
118,Logistic,0.8044601607146767
118,Random Forest,0.8046845919730244
118,XGBoost,0.8067811083619802
119,Logistic,0.7995426672764436
119,Random Forest,0.7815946912070784
119,XGBoost,0.7999701333731555
120,Logistic,0.8085695234631406
